priority	title	author	category	reason	source_basis	local_status	note
P0	间客	猫腻	科幻/玄幻	中国网络文学20年20部作品榜首，猫腻代表作，文笔和思想性都强	中国网络文学20年20部作品；中国作家网《间客》专题	合集未命中	建议优先补完整本
P0	全职高手	蝴蝶蓝	游戏竞技	游戏竞技现象级作品，改编影响大，适合补足游戏题材	中国网络文学20年20部作品；中国作家网/维基资料	合集未命中	建议优先补完整本
P0	鬼吹灯	天下霸唱	悬疑/探险	盗墓探险类型代表作，IP影响极高	中国网络文学20年20部作品	合集未命中	建议优先补完整系列
P0	盗墓笔记	南派三叔	悬疑/探险	盗墓探险头部 IP，和鬼吹灯形成重要类型对照	公开 IP 影响力与改编传播	合集未命中	建议补完整系列
P0	三体	刘慈欣	科幻	中文科幻标杆，训练集中科幻叙事缺口明显	雨果奖/影视改编/公开影响力	合集未命中	建议补三部曲
P0	大江东去	阿耐	现实题材	网络文学作者首次获五个一工程奖，现实题材质量样本	中国网络文学20年20部作品；阿耐条目资料	合集未命中	建议优先补
P0	第一次的亲密接触	痞子蔡	青春/网络文学早期	早期中文网络文学代表作，风格与商业网文差异大	中国网络文学20年20部作品	合集未命中	适合做早期网络文学样本
P0	悟空传	今何在	幻想/新武侠	网络文学早期神话重写代表作，语言辨识度高	中国网络文学20年20部作品	合集未命中	建议补
P0	飘邈之旅	萧潜	修真	修真流派源头级作品	中国网络文学20年20部作品	合集未命中	建议补
P0	家园/隋乱	酒徒	历史	历史网文代表作，结构和人物较成熟	中国网络文学20年20部作品	合集未命中	同名家园需注意歧义
P0	明朝那些事儿	当年明月	历史通俗写作	通俗历史写作标杆，叙事语体与网文差异明显	中国网络文学20年20部作品	合集未命中	建议补全集
P0	神墓	辰东	玄幻	辰东早期代表作，玄幻类型演化关键样本	中国网络文学20年20部作品	合集未命中	建议补
P0	巫神纪	血红	玄幻	血红代表作之一，传统玄幻强类型样本	中国网络文学20年20部作品	合集未命中	建议补
P1	致我们终将逝去的青春	辛夷坞	青春/言情	青春文学代表作，补齐女频现实青春向	中国网络文学20年20部作品	合集未命中	建议补
P1	繁花	金宇澄	都市/文学	地域语言与文学性突出，能扩展高质量非典型网文样本	中国网络文学20年20部作品	合集未命中	本地命中均非该书
P1	大奉打更人	卖报小郎君	仙侠/探案	2020 年现象级作品，起点仙侠高订纪录样本	2021探照灯年度书单；阅文原创 IP 盛典资料	合集未命中	建议补
P1	亏成首富从游戏开始	青衫取醉	游戏/都市	反套路游戏文代表，入选探照灯十大网络原创小说	2021探照灯年度书单；中国作家网 2019 年度网络文学发展报告	合集未命中	建议补
P1	我有一座冒险屋	我会修空调	悬疑/惊悚	悬疑惊悚高人气样本，探照灯书单提名	2021探照灯年度书单	合集未命中	与我有一座恐怖屋注意区分
P1	超神机械师	齐佩甲	游戏/科幻	游戏背景与科幻设定结合，海外传播较强	2021探照灯年度书单	合集未命中	建议补
P1	猎赝	柳下挥	都市/文物鉴定	古董修复和鉴定知识融合故事，题材稀缺	2021探照灯年度书单	合集未命中	建议补
P1	临渊行	宅猪	玄幻	玄幻写教育主题，探照灯书单评价较高	2021探照灯年度书单	合集未命中	建议补
P1	表小姐	吱吱	古言	古代贵族日常与烟火气描写，女频古言补充	2021探照灯年度书单	合集未命中	建议补
P1	逢春	冬天的柳叶	古言	女性独立与家国主题，女频补充样本	2021探照灯年度书单	合集未命中	建议补
P1	越界招惹	傅九	都市/青春	聚焦动物救援、文物、环境保护，题材较新	2021探照灯年度书单	合集未命中	建议补
P1	我们生活在南京	天瑞说符	科幻	银河奖最佳网络科幻小说奖，网络科幻代表样本	银河奖；华语科幻星云奖；维基条目资料	合集未命中	建议补
P1	死在火星上	天瑞说符	科幻	天瑞说符代表作，硬科幻网络文学样本	银河奖/作者资料	合集未命中	建议补
P1	泰坦无人声	天瑞说符	科幻	获银河奖最佳原创图书奖，补硬科幻样本	银河奖/作者资料	合集未命中	建议补
P1	宿命之环	爱潜水的乌贼	奇幻/克苏鲁	诡秘之主续作，海外影响延续	公开连载与海外传播资料	合集未命中	建议补
P1	夜的命名术	会说话的肘子	都市/科幻	近年高热度作品，都市异能与群像样本	平台热度与公开影响力	合集未命中	建议补
P1	赤心巡天	情何以甚	仙侠	近年口碑仙侠样本，文笔评价较高	平台口碑与读者评价	合集未命中	建议补
P1	黎明之剑	远瞳	科幻/奇幻	远瞳代表作，世界观建设强	平台口碑与改编传播	合集未命中	建议补
P1	从红月开始	黑山老鬼	科幻/诡异	近年诡异流代表，已做漫画改编	阅文集团改编资料	合集未命中	建议补
P1	道诡异仙	狐尾的笔	克苏鲁/诡异	近年高辨识度诡异叙事样本	平台口碑与公开影响力	合集未命中	建议补
P2	难哄	竹已	现言	入选 2020 年度网络文学影响力榜 IP 改编影响力榜	竹已条目资料；影响力榜资料	合集未命中	建议补
P2	偷偷藏不住	竹已	现言	晋江现代言情年度盘点十佳，影视改编影响大	竹已条目资料	合集未命中	建议补
P2	你是我的荣耀	顾漫	现言	顾漫后期代表作，影视改编传播大	顾漫条目资料；腾讯视频 IP 荣誉	合集未命中	建议补
P2	微微一笑很倾城	顾漫	现言/网游	网游恋爱题材代表作，影视改编影响大	顾漫条目资料	仅命中样章	需补完整本
P2	打火机与公主裙	Twentine	现言	影视改编后传播广，文风辨识度高	Twentine 条目资料	合集未命中	建议补
P2	那个不为人知的故事	Twentine	现言	口碑现言代表，情感叙事样本	Twentine 条目资料	合集未命中	建议补
P2	天官赐福	墨香铜臭	纯爱/仙侠	海外传播和改编影响大，纯爱样本缺口	公开 IP 影响力	合集未命中	建议补
P2	人渣反派自救系统	墨香铜臭	纯爱/穿书	穿书反套路纯爱代表	公开 IP 影响力	合集未命中	建议补
P2	镇魂	priest	纯爱/悬疑	影视改编传播大，priest 代表作	公开 IP 影响力	合集未命中	建议补
P2	默读	priest	纯爱/刑侦	刑侦纯爱口碑作，类型融合强	公开口碑与改编资料	合集未命中	建议补
P2	残次品	priest	科幻/纯爱	科幻纯爱代表，补题材交叉样本	公开口碑与改编资料	合集未命中	建议补
P2	杀破狼	priest	古风/纯爱	古风蒸汽设定，类型辨识度高	公开口碑与改编资料	合集未命中	建议补
P2	琅琊榜	海宴	架空历史/权谋	影视改编极具影响力，权谋叙事优质样本	影视改编公开资料	合集未命中	建议补
P2	九州缥缈录	江南	奇幻/架空历史	九州世界代表作，文笔和世界观价值高	公开 IP 影响力	仅命中第五卷	需补完整系列
P2	新宋	阿越	架空历史	历史穿越代表作，网络历史文重要样本	公开口碑与类型史资料	仅命中第三部单卷	需补完整本
